logFC	adj.P.Val	Gene names	Protein IDs	SARS_CoV_2
-1.02157472510243	2.3718476419594227e-4	DHX58	Q96C10	FALSE
-1.0094084963328918	2.4259552965584123e-4	CDCA5	Q96FF9	FALSE
-0.7680555598799411	3.2897923230550276e-4	BRIP1	Q9BX63;Q9BX63-2	FALSE
-0.9072750713164186	3.2897923230550276e-4	PSMB9	P28065;P28065-2	FALSE
2.3401761230543	3.459989728791489e-4	TENM3	Q9P273;Q6N022	FALSE
1.4484967514858071	3.4641478489316866e-4	SEMA3C	Q99985;Q99985-2	FALSE
-0.9065667718967417	3.8883391892666024e-4	UHRF1	Q96T88;Q96T88-2	FALSE
-1.0779253271349278	3.8883391892666024e-4	PARP12	Q9H0J9	FALSE
-1.0524367145449722	4.225845861148711e-4	MCM10	Q7L590;Q7L590-2	FALSE
0.9700553967963685	4.225845861148711e-4	SOSTDC1	Q6X4U4;Q6X4U4-2	FALSE
-2.402193796347317	4.458041539799154e-4	HLA-B	P30481;P30485	FALSE
-0.7076304957378504	4.661624852809819e-4	CBX2	Q14781;Q14781-2	FALSE
-1.1493027027670524	4.661624852809819e-4	TDRD7	Q8NHU6;Q8NHU6-2;Q8NHU6-3	FALSE
-0.8579864822902595	4.661624852809819e-4	APOL2	Q9BQE5	FALSE
-0.6772757768584915	4.661624852809819e-4	IRF9	Q00978	FALSE
-0.7625644782356056	4.7692205228660485e-4	CDCA2	Q69YH5;Q69YH5-2	FALSE
-2.7582612128291863	4.871633535244154e-4	CMPK2	Q5EBM0;Q5EBM0-4;Q5EBM0-3;Q5EBM0-2	FALSE
-0.9398194066001776	6.107045531721295e-4	TK1	P04183	FALSE
-1.1129685933907063	6.261335911112223e-4	SHFL	Q9NUL5;Q9NUL5-3;Q9NUL5-4;Q9NUL5-2	FALSE
-0.9496462020966661	6.69932237254732e-4	EXO1	Q9UQ84;Q9UQ84-4	FALSE
-0.7721073258665418	6.774401971348166e-4	CHAF1B	Q13112	FALSE
-0.945484671069785	6.861691801315973e-4	DHRS1	Q96LJ7	FALSE
-0.7147333381332721	7.449946854679448e-4	PNPT1	Q8TCS8	FALSE
-4.480023917658922	7.471670884899165e-4	MX1	P20591;P20591-2;P20592;P20592-2	FALSE
-0.7888474313358891	7.471670884899165e-4	MASTL	Q96GX5-3;Q96GX5;Q96GX5-2	FALSE
1.1978534621190045	7.471670884899165e-4	SLIT2	O94813;O94813-3;O94813-2	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
-1.2768332797997504	7.471670884899165e-4	HLA-A	P01892;P30459;P10314;P16189;Q09160;P30512	FALSE
